Scaffold	Start	End	Mid	Sites	D.Asia_SW.Sichuan_SW.NE	outlier.D.Asia_SW.Sichuan_SW.NE	D.Asia_SW.Sichuan_Sichuan.NE	outlier.D.Asia_SW.Sichuan_Sichuan.NE	D.Asia_SW.N_N.NE	outlier.D.Asia_SW.N_N.NE	D.Asia_SW.N_N.Sichuan	outlier.D.Asia_SW.N_N.Sichuan	D.Noram_NoramE.CircNoramE_CircNoramE.Noram2	outlier.D.Noram_NoramE.CircNoramE_CircNoramE.Noram2	D.AsiaSW.NoramE_AsiaNE.NoramE	outlier.D.AsiaSW.NoramE_AsiaNE.NoramE	D.AsiaSW.NoramE_AsiaN.NoramE	outlier.D.AsiaSW.NoramE_AsiaN.NoramE	D.AsiaSichuan.NoramE_AsiaNE.NoramE	outlier.D.AsiaSichuan.NoramE_AsiaNE.NoramE	D.AsiaSichuan.NoramE_AsiaN.NoramE	outlier.D.AsiaSichuan.NoramE_AsiaN.NoramE	D.AsiaSW.CircNoramE_AsiaNE.CircNoramE	outlier.D.AsiaSW.CircNoramE_AsiaNE.CircNoramE	D.AsiaSW.CircNoramE_AsiaSichuan.CircNoramE	outlier.D.AsiaSW.CircNoramE_AsiaSichuan.CircNoramE	D.AsiaSW.CircNoramW_AsiaNE.CircNoramW	outlier.D.AsiaSW.CircNoramW_AsiaNE.CircNoramW	D.AsiaSW.CircNoramW_AsiaSichuan.CircNoramW	outlier.D.AsiaSW.CircNoramW_AsiaSichuan.CircNoramW	D.AsiaSW.EuroN_AsiaNE.EuroN	outlier.D.AsiaSW.EuroN_AsiaNE.EuroN	D.AsiaSW.EuroN_AsiaSichuan.EuroN	outlier.D.AsiaSW.EuroN_AsiaSichuan.EuroN	D.AsiaSC.Noram_AsiaSC.CircNoram	outlier.D.AsiaSC.Noram_AsiaSC.CircNoram	D.AsiaSW.Noram_AsiaSW.CircNoram	outlier.D.AsiaSW.Noram_AsiaSW.CircNoram	outlier.fst_Noram.CircnoramE
Scaffold03	3410001	3420000	12965443	1391	0.1348	background	-0.1495	background	-0.0657	background	-0.000300000000000022	background	0.6824	outlier	-0.0914	background	0.1865	background	-0.1853	background	0.0926	background	-0.1245	background	0.1664	background	-0.1015	background	0.0785	background	-0.1265	background	0.1711	background	0.2631	background	0.1906	background	background
Scaffold03	3435001	3445000	12990253	1049	0.4585	outlier	-0.1069	background	-0.0788	background	-0.3239	background	0.5675	background	-0.0995999999999999	background	0.1418	background	-0.3336	background	-0.0922	background	-0.1422	background	-0.0272	background	-0.1406	background	-0.1218	background	-0.1416	background	0.0103	background	0.00669999999999998	background	0.2679	background	background
Scaffold03	3440001	3450000	12996087	1039	0.4739	outlier	-0.0668000000000001	background	-0.0341	background	-0.3871	background	0.5575	background	-0.0796	background	0.1306	background	-0.2978	background	-0.0876000000000001	background	-0.1297	background	-0.0943000000000001	background	-0.1214	background	-0.1791	background	-0.112	background	-0.063	background	0.0317	background	0.3442	background	background
Scaffold03	3610001	3620000	13165265	1281	-0.0612	background	-0.0142	background	0.0088	background	0.0965	background	0.6459	outlier	-0.0364	background	0.1309	background	-0.1442	background	0.0231	background	-0.0807999999999999	background	0.1719	background	-0.044	background	0.1372	background	-0.0881	background	0.1695	background	0.4057	background	0.3416	background	outlier
Scaffold03	3615001	3625000	13170603	1443	-0.0156	background	-0.0103	background	0.00270000000000001	background	0.0768	background	0.6215	background	-0.0368000000000001	background	0.0587	background	-0.1189	background	-0.0234	background	-0.0907	background	0.1617	background	-0.0538	background	0.1234	background	-0.0788	background	0.1152	background	0.561	outlier	0.4814	outlier	outlier
Scaffold03	3620001	3630000	13174563	1136	-0.000399999999999998	background	-0.0221	background	-0.00170000000000001	background	0.0549	background	0.6573	outlier	-0.0389	background	0.081	background	-0.1406	background	-0.0207000000000001	background	-0.0705	background	0.1355	background	-0.0388000000000001	background	0.1285	background	-0.0789	background	0.1342	background	0.5438	outlier	0.51	outlier	outlier
Scaffold03	3670001	3680000	13225067	1253	0.0329	background	-0.174	background	-0.0715	background	0.0203	background	0.6756	outlier	-0.1739	background	0.0657	background	-0.2671	background	-0.0275	background	-0.2054	background	0.251	background	-0.2178	background	0.1324	background	-0.1742	background	0.2033	background	0.2942	background	0.1364	background	background
Scaffold03	3770001	3780000	13325234	1647	-0.0542	background	-0.0897	background	-0.0091	background	0.0182	background	0.6369	outlier	-0.1003	background	0.0658000000000001	background	-0.2397	background	-0.0735999999999999	background	-0.1474	background	0.1281	background	-0.1313	background	0.123	background	-0.1024	background	0.1602	background	0.298	background	0.3093	background	outlier
Scaffold03	3845001	3855000	13400624	1465	-0.0314	background	-0.0331	background	0.0362	background	0.0791	background	0.6383	outlier	-0.0748000000000001	background	0.0809	background	-0.2016	background	-0.0458999999999999	background	-0.0909	background	0.1397	background	-0.0816	background	0.1401	background	-0.1072	background	0.172	background	0.4042	background	0.3913	background	background
Scaffold03	4090001	4100000	13644564	1254	0.0364	background	-0.1587	background	-0.1403	background	0.0641	background	0.5048	background	-0.1029	background	0.0814	background	-0.2402	background	-0.0558999999999999	background	-0.0849	background	0.0512	background	-0.1892	background	-0.0191	background	-0.1396	background	0.1756	background	0.4557	outlier	0.5418	background	background
Scaffold03	4100001	4110000	13651216	50	0.0781	background	-0.0375	background	0.0318	background	-0.1146	background	0.4883	background	0.0339	background	0.0554	background	-0.0304	background	-0.00889999999999996	background	-0.0401	background	-0.0326	background	0.1929	outlier	-0.0743	background	0.0807	outlier	-0.0335	background	0.0681	background	0.165	background	background
Scaffold03	4105001	4115000	13664150	182	-0.0792	background	-0.2206	background	-0.0644	background	-0.037	background	0.5308	background	-0.1107	background	0.1683	background	-0.1774	background	0.1016	outlier	-0.041	background	0.0737	background	-0.094	background	0.0105000000000001	background	-0.0393	background	0.0275	background	0.3187	background	0.3117	background	background
Scaffold03	4110001	4120000	13664150	182	-0.0792	background	-0.2206	background	-0.0644	background	-0.037	background	0.5308	background	-0.1107	background	0.1683	background	-0.1774	background	0.1016	outlier	-0.041	background	0.0737	background	-0.094	background	0.0105000000000001	background	-0.0393	background	0.0275	background	0.3187	background	0.3117	background	background
Scaffold03	4130001	4140000	13684042	777	0.0291	background	-0.1343	background	-0.0798	background	-0.0516	background	0.5317	background	-0.1135	background	-0.00170000000000003	background	-0.1602	background	-0.0484	background	-0.0805	background	0.0278	background	-0.1209	background	0.0373	background	-0.1222	background	0.0902	background	0.4549	outlier	0.4738	background	background
Scaffold03	4135001	4145000	13689290	340	0.0522	background	-0.1362	background	-0.1069	background	0.043	background	0.5583	background	-0.0887	background	0.0165000000000001	background	-0.1173	background	-0.0121	background	-0.0999	background	0.0378	background	-0.1456	background	0.0817	background	-0.1207	background	0.1095	background	0.5708	outlier	0.5616	outlier	background
Scaffold03	4140001	4150000	13692801	168	-0.027	background	-0.1157	background	-0.1204	background	0.0759	background	0.5334	background	-0.0867	background	0.1358	background	-0.1859	background	0.0366	background	-0.1282	background	0.0856	background	-0.1265	background	0.1269	background	-0.138	background	0.1578	background	0.5609	outlier	0.5745	outlier	background
Scaffold03	4160001	4170000	13716613	970	-0.0222	background	-0.0015	background	-0.0294	background	0.1142	background	0.5075	background	-0.0756	background	0.2911	outlier	-0.2541	background	0.1126	outlier	-0.0931	background	0.2068	background	-0.0599000000000001	background	0.1811	background	-0.0986	background	0.1994	background	0.1378	background	0.1095	background	background
Scaffold03	4185001	4195000	13741562	1008	0.1951	background	0.0545	background	0.1444	background	-0.0213	background	0.376	background	-0.00989999999999996	background	0.1066	background	-0.1357	background	-0.0192	background	0.0156	background	0.1341	background	0.0881	background	0.0591	background	0.0359999999999999	outlier	0.1101	background	-0.0397	background	-0.048	background	background
Scaffold03	4305001	4315000	13857586	441	0.0651	background	-0.0479	background	0.0439	background	-0.0645	background	0.6604	outlier	-0.0445	background	0.0793	background	-0.1618	background	-0.038	background	-0.0906	background	0.1279	background	-0.0495	background	0.1246	background	-0.0749	background	0.0841	background	0.4675	outlier	0.4569	background	outlier
Scaffold03	4445001	4455000	14000728	1442	0.1108	background	-0.0635	background	-0.0256	background	-0.00519999999999998	background	0.6537	outlier	-0.0528999999999999	background	0.1745	background	-0.1265	background	0.1009	outlier	-0.0868	background	0.1395	background	-0.0408999999999999	background	0.0264	background	-0.095	background	0.148	background	0.2269	background	0.161	background	outlier
Scaffold03	4450001	4460000	14004246	1158	0.1638	background	-0.0596	background	-0.0343	background	-0.0329	background	0.664	outlier	-0.0635	background	0.1228	background	-0.1019	background	0.0843999999999999	background	-0.0911000000000001	background	0.1214	background	-0.0616	background	-0.00619999999999998	background	-0.1043	background	0.1473	background	0.2403	background	0.1573	background	outlier
Scaffold03	4455001	4465000	14010369	802	0.0531	background	-0.1494	background	-0.0964	background	-0.074	background	0.6825	outlier	-0.1354	background	0.0853	background	-0.1086	background	0.1121	outlier	-0.1407	background	0.0758	background	-0.1362	background	-0.0599	background	-0.1408	background	0.0968	background	0.246	background	0.1434	background	outlier
Scaffold03	4460001	4470000	14015545	890	0.0472	background	-0.1909	background	-0.1028	background	-0.0337	background	0.6628	outlier	-0.1354	background	0.1648	background	-0.1529	background	0.1473	outlier	-0.1307	background	0.0986	background	-0.1129	background	-0.00550000000000006	background	-0.1385	background	0.1231	background	0.1384	background	0.0573	background	outlier
Scaffold03	4465001	4475000	14021218	1340	0.0897	background	-0.1443	background	-0.0687	background	0.00179999999999997	background	0.6348	outlier	-0.0877	background	0.2049	background	-0.1559	background	0.1367	outlier	-0.1087	background	0.1393	background	-0.0738000000000001	background	0.0347	background	-0.1183	background	0.1527	background	0.2041	background	0.133	background	background
Scaffold03	4470001	4480000	14025526	1714	0.0897	background	-0.1668	background	-0.0823	background	-0.00619999999999998	background	0.6817	outlier	-0.0871	background	0.1851	background	-0.1652	background	0.107	outlier	-0.1198	background	0.1401	background	-0.0901000000000001	background	0.0465	background	-0.1277	background	0.1453	background	0.2492	background	0.1872	background	outlier
Scaffold03	4480001	4490000	14035311	1204	-0.0435	background	-0.1327	background	-0.0578	background	-0.0201	background	0.5836	background	-0.0554	background	0.0729000000000001	background	-0.105	background	0.0233000000000001	background	-0.1167	background	0.1153	background	-0.1055	background	0.0331	background	-0.1221	background	0.1298	background	0.4675	outlier	0.4018	background	outlier
Scaffold03	4485001	4495000	14040552	1053	0.0448	background	0.0128	background	0.0148	background	0.0315	background	0.6675	outlier	-0.0361	background	0.1293	background	-0.1095	background	0.0558999999999999	background	-0.0668000000000001	background	0.1545	background	-0.0212	background	0.052	background	-0.0729	background	0.1564	background	0.3258	background	0.2447	background	background
Scaffold03	4490001	4500000	14045515	1209	0.0556	background	-0.0351	background	0.0277	background	-0.035	background	0.6429	outlier	-0.0664	background	0.0424	background	-0.1372	background	-0.0284	background	-0.0642	background	0.1023	background	-0.0617	background	0.0241	background	-0.0849	background	0.0885	background	0.384	background	0.3525	background	background
Scaffold03	4495001	4505000	14049923	1187	0.0438	background	-0.0418	background	0.0453	background	-0.0836	background	0.5907	background	-0.0652	background	0.0258999999999999	background	-0.15	background	-0.0589000000000001	background	-0.0327	background	0.0367	background	-0.0807	background	-0.0311	background	-0.1067	background	0.053	background	0.4535	outlier	0.5016	background	background
Scaffold03	4500001	4510000	14054849	1008	0.0279	background	-0.0413	background	0.0125	background	-0.000600000000000003	background	0.5687	background	-0.0343	background	0.0502	background	-0.1489	background	-0.0644	background	-0.0494	background	0.0814	background	-0.0558	background	0.0607	background	-0.1108	background	0.1068	background	0.486	outlier	0.5192	outlier	background
Scaffold03	4565001	4575000	14121423	1285	0.1322	background	-0.2946	background	-0.2293	background	0.0311	background	0.6419	outlier	-0.1825	background	0.0209	background	-0.142	background	0.0614	background	-0.2867	background	0.2155	background	-0.3029	background	0.1898	background	-0.2694	background	0.1895	background	0.5546	outlier	0.2986	outlier	background
Scaffold03	4570001	4580000	14123941	1111	0.1698	background	-0.2542	background	-0.191	background	0.053	background	0.6573	outlier	-0.1593	background	0.0428000000000001	background	-0.1381	background	0.0640000000000001	background	-0.2667	background	0.2438	background	-0.2606	background	0.1895	background	-0.2452	background	0.2084	background	0.5027	outlier	0.2377	outlier	background
Scaffold03	4670001	4680000	14224635	424	-0.0506	background	0.0123	background	-0.0091	background	-0.1557	background	0.5523	background	-0.0091	background	-0.0864	background	0.0273	outlier	-0.05	background	0.00800000000000001	background	-0.00800000000000001	background	-0.0077	background	-0.1205	background	-0.0755	background	0.0254	background	0.2611	background	0.2327	background	background
Scaffold03	4715001	4725000	14274009	178	0.2323	background	-0.029	background	0.0289	background	-0.0994	background	0.4556	background	-0.0588	background	0.2111	background	-0.1409	background	0.129	outlier	-0.0985	background	-0.2132	background	-0.0272	background	-0.2215	background	-0.0661	background	0.0325	background	0.1324	background	0.4277	background	outlier
Scaffold03	4720001	4730000	14274990	231	0.1953	background	-0.0333	background	-0.0068	background	-0.1149	background	0.5314	background	-0.0635	background	0.1921	background	-0.1401	background	0.1155	outlier	-0.0916	background	-0.1262	background	-0.0441	background	-0.2161	background	-0.0667	background	0.0196	background	0.2734	background	0.4762	background	background
Scaffold03	4770001	4780000	14325262	260	0.0465	background	0.0265	background	-0.034	background	-0.0463	background	0.5292	background	-0.0313	background	0.0997	background	-0.1461	background	-0.0151	background	-0.0739	background	0.1482	background	-0.0323	background	0.1522	background	-0.0282	background	0.0131	background	0.4818	outlier	0.4484	outlier	background
Scaffold03	4900001	4910000	14450945	128	0.0646	background	0.0899	background	0.0301	background	-0.0107	background	0.1818	background	0.0301	background	0.0728	background	-0.1166	background	-0.0739	background	0.0412	background	0.0962	background	0.1487	outlier	0.2478	background	-0.0096	background	0.033	background	0.1779	background	0.2284	background	background
Scaffold03	4925001	4935000	14483794	138	-0.023	background	0.0281	background	0.0692	background	0.0312	background	0.0444	background	0.0443	outlier	0.0846	background	-0.0829	background	-0.0426	background	0.0164	background	0.0876	background	0.0996	background	0.1725	background	0.0273	background	0.0611	background	0.0341	background	0.0737	background	background
Scaffold03	4930001	4940000	14483815	139	-0.0222	background	0.0283	background	0.069	background	0.0312	background	0.0439	background	0.0453	outlier	0.084	background	-0.0809	background	-0.0422	background	0.0166	background	0.0864	background	0.1029	background	0.1726	background	0.0263	background	0.059	background	0.034	background	0.0738	background	background
Scaffold04	1	10000	14495389	18	0.0292	background	0.0789	background	-0.0324	background	0.1668	background	-0.1569	background	0.017	background	-0.00410000000000001	background	0.0276	outlier	0.0065	background	-0.0166	background	-0.0544	background	-0.014	background	-0.1459	background	-0.0318	background	-0.0311	background	-0.0251	background	0.0187	background	background
Scaffold04	20001	30000	14521082	481	-0.2035	background	0.0401	background	0.3315	outlier	0.2071	background	0.1203	background	-0.00559999999999999	background	0.1257	background	-0.1822	background	-0.0509	background	0.0315	background	0.105	background	0.0771	background	0.2034	background	-0.00849999999999999	background	0.0609	background	0.1104	background	0.182	background	background
Scaffold04	25001	35000	14522549	996	-0.0175	background	0.0658	background	0.2455	outlier	0.0342	background	0.1366	background	-0.0159	background	0.1155	background	-0.1479	background	-0.0165	background	-0.002	background	0.0583	background	0.0465	background	0.0848	background	-0.0111	background	0.0401	background	0.1508	background	0.2245	background	background
Scaffold04	35001	45000	14529236	102	0.4025	outlier	0.2564	background	0.067	background	-0.1083	background	-0.0124	background	0.0863	outlier	0.1508	background	-0.011	background	0.0535	background	0.0807	outlier	0.111	background	0.2047	outlier	0.3148	background	0.0699	outlier	0.1134	background	0.0374	background	0.0237	background	background
Scaffold04	50001	60000	14545453	117	0.0044	background	-0.0133	background	0.006	background	-0.0293	background	0.0086	background	-0.000699999999999992	background	0.0287	background	0.026	outlier	0.0554	background	-0.0055	background	-0.0097	background	-0.0082	background	-0.0691	background	0.0018	background	0.0045	background	0.0244	background	0.0074	background	background
Scaffold04	55001	65000	14551960	64	-0.0225	background	0.0208	background	0.0398	background	0.0439	background	0.0013	background	0.035	background	0.0029	background	-0.0076	outlier	-0.0397	background	0.0184	background	0.0272	background	0.0129	background	0.0187	background	0.0088	background	0.025	background	-3e-04	background	0.0151	background	background
Scaffold04	85001	95000	14581041	74	-0.0032	background	-0.0208	background	0.0556	background	-0.0063	background	0.0166	background	0.0791	outlier	0.0647	background	0.0238	outlier	0.0094	background	0.0576	outlier	0.022	background	0.0518	background	0.0395	background	0.0087	background	0.007	background	0.000299999999999998	background	0.0336	background	background
Scaffold04	100001	110000	14601700	152	0.0507	background	0.0161	background	0.0328	background	0.2546	background	0.0184	background	-0.0576	background	0.1999	background	-0.2627	background	-0.0052	background	-0.0576	background	0.1378	background	-0.0214	background	0.3484	outlier	-0.055	background	0.1745	background	0.0114	background	0.0787	background	background
Scaffold04	105001	115000	14603808	439	0.0156	background	0.043	background	0.0671	background	0.2771	outlier	0.0379	background	-0.0375	background	0.1512	background	-0.2051	background	-0.0164	background	-0.031	background	0.1358	background	-0.0104	background	0.2865	background	-0.0309	background	0.1378	background	0.0073	background	0.0391	background	background
Scaffold04	110001	120000	14605470	358	-0.0071	background	0.0444	background	0.0753	background	0.272	outlier	0.0304	background	-0.0335	background	0.125	background	-0.1785	background	-0.02	background	-0.027	background	0.1307	background	-0.00369999999999998	background	0.2499	background	-0.0184	background	0.1047	background	0.0033	background	0.0176	background	background
Scaffold04	120001	130000	14616275	19	-0.0554	background	-0.0691	background	0.0936	background	0.0655	background	NA	NA	0.0147	background	0.0429	background	-0.0055	outlier	0.0227	background	-0.0716	background	0.0088	background	-0.1707	background	-0.0411	background	-0.0165	background	0.0102	background	-0.0411	background	-0.0297	background	background
Scaffold04	130001	140000	14631026	141	-0.0466	background	0.0111	background	-0.0035	background	-0.0735	background	0.0342	background	0.0607	outlier	-0.0764	background	0.1255	outlier	-0.0116	background	0.0464	outlier	-0.0339	background	0.1076	background	0.0649	background	0.0218	background	0.0032	background	-0.000399999999999998	background	-0.0313	background	background
Scaffold04	200001	210000	14694183	379	0.1297	background	0.0232	background	0.0392	background	0.2717	outlier	0.0652	background	-0.037	background	0.1847	background	-0.2497	background	-0.028	background	-0.0518	background	0.152	background	0.00269999999999998	background	0.2763	background	-0.0524	background	0.107	background	0.0674	background	0.1281	background	background
Scaffold04	210001	220000	14705800	18	-0.0736	background	-0.0193	background	0.0097	background	0.0085	background	-0.0715	background	-0.0078	background	0.0433	background	-0.0665	background	-0.0154	background	0.0349	background	0.0456	background	0.0329	background	-0.0191	background	0.0622	outlier	0.044	background	-0.0047	background	0.0084	background	background
Scaffold04	220001	230000	14717551	23	0.1194	background	0.0627	background	NA	NA	NA	NA	-0.203	background	-0.2223	background	-0.0864	background	0.0525	outlier	0.1884	outlier	-0.0041	background	-0.0189	background	NA	NA	NA	NA	-0.0369	background	-0.0849	background	-0.04	background	-0.2959	background	background
Scaffold04	230001	240000	14728166	267	-0.0283	background	0.0835	background	0.1278	background	0.1449	background	0.0908	background	0.0759	outlier	0.1566	background	-0.0833	background	-0.0026	background	0.0868	outlier	0.1487	background	0.1992	outlier	0.2856	background	0.0851	outlier	0.1071	background	0.0425	background	0.053	background	background
Scaffold04	235001	245000	14732861	628	0.0496	background	0.2076	background	0.2496	outlier	0.2095	background	0.2208	background	0.0786	outlier	0.2093	background	-0.1655	background	-0.0348	background	0.0943	outlier	0.1341	background	0.1685	outlier	0.2709	background	0.0598	outlier	0.1152	background	0.1317	background	0.2417	background	background
Scaffold04	240001	250000	14734202	474	0.0553	background	0.1865	background	0.2322	outlier	0.1782	background	0.2359	background	0.0514	outlier	0.1834	background	-0.1707	background	-0.0387	background	0.0752	outlier	0.1008	background	0.1019	background	0.1889	background	0.0287	background	0.0895	background	0.146	background	0.2673	background	background
Scaffold04	305001	315000	14805410	47	0.0203	background	-0.00439999999999999	background	0.018	background	-0.0161	background	0.1307	background	-0.0935	background	0.2826	outlier	-0.3497	background	0.0264	background	-0.1199	background	0.1563	background	0.0263	background	0.1966	background	-0.1244	background	0.0949	background	0.0067	background	0.1066	background	background
Scaffold04	310001	320000	14805718	47	0.0126	background	-0.0223	background	0.004	background	-0.0353	background	0.1294	background	-0.1039	background	0.2832	outlier	-0.351	background	0.0361	background	-0.1293	background	0.149	background	0.017	background	0.171	background	-0.1449	background	0.0927	background	0.00560000000000001	background	0.1037	background	background
Scaffold04	335001	345000	14833689	491	-0.1544	background	-0.0045	background	0.1689	background	0.1395	background	0.2624	background	-0.0103	background	0.1006	background	-0.126	background	-0.0151	background	0.0631	outlier	0.1353	background	0.0661	background	0.1252	background	0.0254	background	0.0939	background	0.0328	background	0.0132	background	background
Scaffold04	355001	365000	14851530	727	0.0671	background	-0.0706	background	-0.0325	background	0.3099	outlier	0.273	background	-0.0899	background	0.2254	background	-0.3296	background	-0.0143	background	-0.0952	background	0.1932	background	-0.0496	background	0.3779	outlier	-0.1069	background	0.1421	background	0.1902	background	0.2367	background	background
Scaffold04	360001	370000	14855815	552	0.2722	background	-0.0405	background	-0.0482	background	0.2367	background	0.1784	background	-0.082	background	0.2412	outlier	-0.3412	background	-0.018	background	-0.0894	background	0.1997	background	-0.0500999999999999	background	0.4046	outlier	-0.1012	background	0.1705	background	0.1823	background	0.2418	background	background
Scaffold04	485001	495000	14985032	587	0.0167	background	-0.0752	background	-0.0547	background	-0.00219999999999998	background	0.6001	background	-0.0444	background	0.1078	background	-0.0913	background	0.0609	background	-0.1075	background	0.0742	background	-0.1011	background	0.0299	background	-0.122	background	0.089	background	0.5063	outlier	0.479	outlier	background
Scaffold04	490001	500000	14987115	817	0.041	background	-0.0772	background	-0.0318	background	0.0287	background	0.6372	outlier	-0.0407000000000001	background	0.108	background	-0.1257	background	0.023	background	-0.1083	background	0.0918	background	-0.0896	background	0.0645	background	-0.1127	background	0.1189	background	0.4655	outlier	0.4587	background	background
Scaffold04	525001	535000	15024248	155	0.0759	background	0.0629	background	0.0255	background	0.0231	background	0.1445	background	0.0807	outlier	0.1929	background	-0.0653	background	0.0469	background	0.0241	background	0.1038	background	0.1465	outlier	0.1265	background	0.0063	background	0.0408	background	0.1535	background	0.1957	background	background
Scaffold04	530001	540000	15024473	150	0.079	background	0.067	background	0.0265	background	0.0264	background	0.1446	background	0.0793	outlier	0.1928	background	-0.0666	background	0.0469	background	0.0236	background	0.1045	background	0.1449	outlier	0.1251	background	0.007	background	0.0417	background	0.1532	background	0.1946	background	background
Scaffold04	570001	580000	15072093	75	0.0319	background	-0.0753	background	0.0489	background	-0.0573	background	0.7764	outlier	-0.0867	background	0.0651999999999999	background	-0.1299	background	0.022	background	0.0335	background	-0.0062	background	0.0275	background	-0.0773	background	-0.00260000000000001	background	0.0221	background	0.5213	outlier	0.5707	outlier	outlier
Scaffold04	585001	595000	15082319	486	0.3091	outlier	0.00679999999999997	background	0.00220000000000001	background	0.1183	background	0.557	background	-0.0511	background	0.1985	background	-0.2848	background	-0.0352	background	-0.086	background	0.314	outlier	-0.0145	background	0.3309	background	-0.0821	background	0.2296	background	0.2528	background	0.1725	background	background
Scaffold04	640001	650000	15137007	827	0.2186	background	0.1192	background	0.1015	background	0.032	background	0.4541	background	-0.0396	background	0.1329	background	-0.2107	background	-0.0382	background	0.0946	outlier	0.1637	background	0.1448	outlier	0.1291	background	0.0103	background	0.0611	background	0.038	background	0.0454	background	background
Scaffold04	670001	680000	15165401	581	0.1475	background	-0.0206	background	-0.0118	background	-0.1204	background	0.5198	background	-0.0458	background	-0.0539	background	0.02	outlier	0.0119	background	-0.0573	background	-0.0177	background	-0.043	background	-0.0543	background	-0.0631	background	-0.0048	background	0.3103	background	0.2622	background	background
Scaffold04	845001	855000	15343686	742	0.254	background	0.1294	background	0.1394	background	0.2675	outlier	0.3268	background	0.0697	outlier	0.2302	background	-0.1595	background	0.001	background	0.00690000000000002	background	0.1898	background	0.0908	background	0.2487	background	-0.0081	background	0.1674	background	0.2887	background	0.3281	background	background
Scaffold04	850001	860000	15348150	1371	0.1533	background	0.1587	background	0.1823	outlier	0.1962	background	0.2436	background	0.041	background	0.1718	background	-0.1295	background	0.00130000000000002	background	0.0296	background	0.1234	background	0.1171	outlier	0.1782	background	0.013	background	0.1127	background	0.2508	background	0.2979	background	background
Scaffold04	900001	910000	15397619	1467	-0.0618	background	0.0507	background	0.1545	background	0.1528	background	0.5614	background	-0.0663	background	0.0639	background	-0.1561	background	-0.0259	background	0.0323	background	0.1734	background	0.0319	background	0.1637	background	0.0374	outlier	0.141	background	0.407	background	0.3234	background	background
Scaffold04	905001	915000	15401136	1335	-0.1025	background	0.000400000000000011	background	0.1413	background	0.1	background	0.5601	background	-0.0833	background	0.0734	background	-0.1949	background	-0.0382	background	0.032	background	0.1832	background	0.0131	background	0.1607	background	0.0446	outlier	0.1343	background	0.3777	background	0.3061	background	background
Scaffold04	910001	920000	15404790	429	0.083	background	0.0664	background	0.128	background	0.0795	background	0.3602	background	0.0968	outlier	0.1031	background	-0.0299	background	-0.0236	background	0.0865	outlier	0.1707	background	0.1243	outlier	0.1658	background	0.0438	outlier	0.149	background	0.3278	background	0.2838	background	background
Scaffold04	915001	925000	15408370	18	NA	NA	NA	NA	NA	NA	0.4621	outlier	NA	NA	NA	NA	0.3299	outlier	NA	NA	0.0114	background	NA	NA	0.2074	background	NA	NA	0.4558	outlier	NA	NA	0.4014	outlier	-0.0097	background	0.1014	background	background
Scaffold04	960001	970000	15458807	167	0.0342	background	0.4054	outlier	0.2937	outlier	0.3258	outlier	0.0199	background	0.0607	outlier	0.0845	background	-0.0351	background	-0.0113	background	0.0666	outlier	0.1032	background	0.1891	outlier	0.215	background	0.0616	outlier	0.0627	background	0.0271	background	0.0197	background	background
Scaffold04	965001	975000	15462383	447	0.1424	background	0.407	outlier	0.3092	outlier	0.2758	outlier	0.0375	background	0.0709	outlier	0.1356	background	-0.0544	background	0.0103	background	0.1012	outlier	0.1251	background	0.2192	outlier	0.2383	background	0.0639	outlier	0.0863	background	0.0377	background	0.0379	background	background
Scaffold04	970001	980000	15466664	605	0.1563	background	0.2859	background	0.2191	outlier	0.1668	background	0.0317	background	0.0533	outlier	0.0914	background	-0.0311	background	0.007	background	0.0741	outlier	0.0936	background	0.168	outlier	0.1642	background	0.0588	outlier	0.0615	background	0.0291	background	0.0199	background	background
Scaffold04	1205001	1215000	15701203	10	0.5125	outlier	-0.2218	background	NA	NA	-0.4646	background	NA	NA	-0.225	background	-0.1041	background	-1.1044	background	-0.9835	background	-0.1666	background	0.6855	outlier	-0.2411	background	1.1435	outlier	-0.1839	background	0.8646	outlier	-0.2471	background	-0.0532	background	background
Scaffold04	1250001	1260000	15747822	1297	0.0471	background	0.0967	background	0.184	outlier	0.1317	background	0.3481	background	-0.00270000000000004	background	0.1137	background	-0.1675	background	-0.0511	background	-0.00140000000000001	background	0.1508	background	0.074	background	0.1682	background	0.00909999999999998	background	0.0889	background	0.2187	background	0.2327	background	background
Scaffold04	1255001	1265000	15750411	912	0.0751	background	0.1369	background	0.2263	outlier	0.1474	background	0.4222	background	0.0214	background	0.1267	background	-0.1665	background	-0.0612	background	0.0443	outlier	0.2119	background	0.1262	outlier	0.1962	background	0.028	background	0.1108	background	0.0985	background	0.0745	background	background
Scaffold04	1310001	1320000	15808114	49	-0.0215	background	-0.0579	background	0.031	background	-0.0171	background	0.1236	background	0.071	outlier	0.0904	background	-0.000799999999999995	outlier	0.0186	background	0.0529	outlier	-0.00940000000000001	background	0.1255	outlier	-0.0952	background	0.1528	outlier	-0.1057	background	0.0474	background	0.1286	background	background
Scaffold04	1315001	1325000	15809512	34	0.1471	background	-0.2232	background	-0.1065	background	-0.2731	background	0.1707	background	-0.1207	background	-0.0856	background	-0.0033	outlier	0.0318	background	-0.0968	background	-0.1805	background	-0.442	background	-0.7376	background	-0.4495	background	-0.6766	background	0.0617	background	0.1248	background	background
